Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
Belum Menikah,1st phase - general contingent,1,Nursing,Daytime,Secondary education,136,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,119,Iya,Tidak,Tidak,Iya,Perempuan,Iya,18,Tidak,0,8,8,7,13,0,0,8,8,7,13,0,12,3,-1,Graduate
Belum Menikah,1st phase - general contingent,2,Basic Education,Daytime,Secondary education,133,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Manajemen/Administrasi,Belum/Tidak Bekerja,130,Iya,Tidak,Tidak,Iya,Perempuan,Tidak,19,Tidak,0,6,6,0,0,0,0,6,0,0,0,0,12,3,-1,Dropout
Belum Menikah,Short cycle diploma holders,1,Tourism,Daytime,Professional higher technical course,110,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Manajemen/Administrasi,Konstruksi/Transportasi,111,Iya,Tidak,Tidak,Iya,Perempuan,Iya,21,Tidak,0,6,7,6,10,0,0,6,8,5,11,0,8,1,3,Graduate
Belum Menikah,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,149,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Layanan dan Jasa,Layanan dan Jasa,137,Iya,Tidak,Tidak,Iya,Perempuan,Iya,18,Tidak,0,5,7,4,13,0,0,5,5,5,12,0,10,1,1,Graduate
Belum Menikah,1st phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,127,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Belum/Tidak Bekerja,Spesialis IT/Teknisi,120,Iya,Tidak,Tidak,Iya,Perempuan,Tidak,20,Tidak,0,6,6,5,13,0,0,6,7,0,0,0,15,2,-4,Dropout
Belum Menikah,2nd phase - general contingent,2,Nursing,Daytime,Secondary education,135,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Layanan dan Jasa,Manajemen/Administrasi,127,Iya,Tidak,Tidak,Iya,Perempuan,Tidak,18,Tidak,0,7,8,7,13,0,0,8,8,8,14,0,15,2,-4,Graduate
Belum Menikah,1st phase - general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,122,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Belum/Tidak Bekerja,Spesialis IT/Teknisi,120,Tidak,Tidak,Tidak,Iya,Perempuan,Iya,21,Tidak,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,Graduate
Belum Menikah,1st phase - general contingent,4,Nursing,Daytime,Secondary education,142,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Direktur/Manager,Direktur/Manager,125,Iya,Tidak,Tidak,Iya,Perempuan,Tidak,18,Tidak,0,8,12,7,12,0,0,8,12,7,12,0,12,3,-1,Graduate
Belum Menikah,1st phase - general contingent,4,Advertising and Marketing Management,Daytime,Secondary education,125,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Manajemen/Administrasi,Konstruksi/Transportasi,114,Iya,Tidak,Tidak,Iya,Perempuan,Iya,19,Tidak,0,6,8,6,13,0,0,6,7,6,12,0,11,0,2,Graduate
Belum Menikah,1st phase - general contingent,1,Nursing,Daytime,Secondary education,126,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Spesialis IT/Teknisi,Konstruksi/Transportasi,123,Tidak,Tidak,Tidak,Iya,Perempuan,Tidak,19,Tidak,0,7,8,6,13,0,0,8,9,7,14,0,11,0,2,Graduate
Belum Menikah,2nd phase - general contingent,2,Social Service,Daytime,Secondary education,115,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Konstruksi/Transportasi,Spesialis IT/Teknisi,116,Iya,Tidak,Tidak,Iya,Perempuan,Tidak,21,Tidak,0,6,9,6,11,0,0,6,9,6,13,0,16,0,0,Graduate
Belum Menikah,1st phase - general contingent,1,Management,Daytime,Secondary education,135,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,122,Iya,Tidak,Tidak,Iya,Perempuan,Tidak,20,Tidak,0,5,6,5,12,0,0,5,6,5,12,0,16,0,0,Graduate
Belum Menikah,Change of institution/course,1,Communication Design,Daytime,Secondary education,125,Portuguese,Professional Higher Technical Course,Higher Education - Degree,,Spesialis Keuangan,130,Iya,Tidak,Tidak,Iya,Laki-laki,Tidak,20,Tidak,2,6,7,6,12,0,0,6,9,4,13,0,8,1,3,Graduate
Belum Menikah,3rd phase - general contingent,1,Social Service (evening attendance),Evening,Secondary education,138,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Belum/Tidak Bekerja,Layanan dan Jasa,134,Iya,Tidak,Tidak,Iya,Perempuan,Tidak,19,Tidak,0,6,6,6,12,0,0,6,8,6,14,0,12,0,1,Graduate
Belum Menikah,1st phase - general contingent,1,Management,Evening,Secondary education,130,Portuguese,Higher Education - Bachelor's Degree,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Spesialis IT/Teknisi,Belum/Tidak Bekerja,131,Tidak,Tidak,Tidak,Iya,Laki-laki,Tidak,34,Tidak,0,5,6,5,12,0,0,5,9,5,13,0,13,0,0,Graduate
Belum Menikah,Over 23 years old,1,Biofuel Production Technologies,Daytime,Secondary education,130,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Belum/Tidak Bekerja,Petani/Perikanan/Kehutanan,102,Tidak,Tidak,Iya,Tidak,Laki-laki,Tidak,37,Tidak,0,7,7,0,0,0,0,7,7,1,10,0,8,1,3,Dropout
Belum Menikah,Over 23 years old,1,Informatics Engineering,Daytime,11th year of schooling - not completed,133,Portuguese,Unknown,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,128,Iya,Tidak,Tidak,Iya,Laki-laki,Tidak,43,Tidak,0,5,0,0,0,0,0,5,0,0,0,0,7,2,0,Dropout
Berpisah,Over 23 years old,1,Management,Evening,Secondary education,120,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Belum/Tidak Bekerja,Spesialis IT/Teknisi,113,Iya,Tidak,Tidak,Iya,Perempuan,Tidak,39,Tidak,0,5,8,5,11,0,0,5,5,5,11,0,7,2,0,Graduate
Belum Menikah,Technological specialization diploma holders,1,Equinculture,Daytime,Technological specialization course,120,Spanish,Higher Education - Master's,Higher Education - Master's,Spesialis IT/Teknisi,Petani/Perikanan/Kehutanan,120,Tidak,Tidak,Iya,Tidak,Perempuan,Tidak,20,Iya,2,6,13,3,11,0,1,6,11,3,12,0,12,0,1,Dropout
Belum Menikah,1st phase - general contingent,5,Journalism and Communication,Daytime,Secondary education,126,Portuguese,Higher Education - Degree,Higher Education - Degree,Spesialis Pendidikan,Spesialis Pendidikan,121,Tidak,Tidak,Iya,Iya,Perempuan,Tidak,18,Tidak,0,6,6,4,12,0,0,5,5,0,0,0,12,3,-1,Dropout
Belum Menikah,1st phase - general contingent,2,Management,Daytime,Secondary education,133,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Spesialis Pendidikan,Konstruksi/Transportasi,120,Iya,Tidak,Tidak,Iya,Perempuan,Tidak,22,Tidak,0,5,5,5,14,0,0,5,5,5,15,0,8,1,3,Graduate
Belum Menikah,1st phase - general contingent,6,Nursing,Daytime,Secondary education,103,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Spesialis Pendidikan,Spesialis Pendidikan,100,Iya,Iya,Tidak,Iya,Perempuan,Tidak,22,Tidak,0,7,9,5,13,0,0,8,9,7,14,0,11,0,2,Graduate
Belum Menikah,2nd phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,120,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Layanan dan Jasa,Layanan dan Jasa,121,Tidak,Tidak,Tidak,Tidak,Perempuan,Tidak,20,Tidak,0,6,7,4,13,0,0,6,7,5,13,0,12,0,1,Dropout
Belum Menikah,Over 23 years old,1,Management,Evening,Secondary education,133,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,109,Tidak,Tidak,Tidak,Iya,Perempuan,Tidak,29,Tidak,0,5,0,0,0,0,0,5,0,0,0,0,16,0,0,Dropout
Belum Menikah,2nd phase - general contingent,2,Social Service,Daytime,Secondary education,130,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,127,Iya,Tidak,Tidak,Iya,Perempuan,Tidak,18,Tidak,0,6,6,6,11,0,0,6,8,5,13,0,11,0,2,Graduate
Belum Menikah,2nd phase - general contingent,6,Nursing,Daytime,Secondary education,132,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Konstruksi/Transportasi,Konstruksi/Transportasi,132,Iya,Tidak,Tidak,Iya,Perempuan,Iya,22,Tidak,0,7,8,6,13,0,0,8,9,7,13,0,11,0,2,Graduate
Belum Menikah,Technological specialization diploma holders,1,Social Service (evening attendance),Evening,Technological specialization course,130,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,133,Tidak,Tidak,Tidak,Iya,Perempuan,Iya,21,Tidak,3,6,6,6,11,0,2,6,7,6,13,0,12,0,1,Graduate
Belum Menikah,1st phase - general contingent,1,Social Service,Daytime,Secondary education,139,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,126,Tidak,Tidak,Tidak,Iya,Perempuan,Iya,19,Tidak,0,6,7,5,12,0,0,6,7,6,12,0,12,3,-1,Graduate
Belum Menikah,Over 23 years old,1,Tourism,Daytime,Secondary education,130,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Belum/Tidak Bekerja,Konstruksi/Transportasi,113,Tidak,Tidak,Tidak,Iya,Perempuan,Iya,24,Tidak,0,6,6,6,13,0,0,6,6,6,14,0,12,0,1,Graduate
Belum Menikah,1st phase - general contingent,3,Equinculture,Daytime,Secondary education,167,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,159,Tidak,Tidak,Tidak,Iya,Perempuan,Tidak,19,Tidak,0,5,7,5,14,0,0,5,5,5,15,0,7,2,0,Graduate
Belum Menikah,Over 23 years old,1,Management,Evening,Secondary education,130,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,120,Tidak,Tidak,Tidak,Iya,Perempuan,Tidak,27,Tidak,0,5,12,5,10,0,0,5,10,5,11,0,9,0,-3,Dropout
Belum Menikah,1st phase - general contingent,1,Nursing,Daytime,Secondary education,130,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Layanan dan Jasa,Layanan dan Jasa,129,Iya,Tidak,Tidak,Iya,Perempuan,Tidak,18,Tidak,0,7,9,7,13,0,0,8,10,8,13,0,15,2,-4,Graduate
Sudah Menikah,Holders of other higher courses,1,Tourism,Daytime,Higher education - degree,130,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Manajemen/Administrasi,Spesialis IT/Teknisi,130,Tidak,Tidak,Tidak,Iya,Perempuan,Tidak,39,Tidak,0,6,10,0,0,0,0,6,6,0,0,0,12,0,1,Dropout
Belum Menikah,Over 23 years old,1,Equinculture,Daytime,Higher education - degree (1st cycle),129,Portuguese,Higher Education - Degree,Higher Education - Degree,Spesialis Pendidikan,Spesialis Pendidikan,155,Iya,Tidak,Tidak,Iya,Perempuan,Tidak,27,Tidak,0,6,9,5,13,0,5,11,13,10,12,0,12,0,1,Dropout
Belum Menikah,2nd phase - general contingent,1,Nursing,Daytime,Secondary education,141,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Konstruksi/Transportasi,Tentara,139,Iya,Tidak,Tidak,Iya,Perempuan,Tidak,18,Tidak,0,8,8,8,14,0,0,8,8,8,14,0,9,0,-3,Graduate
Belum Menikah,1st phase - general contingent,2,Nursing,Daytime,Secondary education,125,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,114,Tidak,Tidak,Tidak,Iya,Perempuan,Tidak,18,Tidak,0,7,8,6,13,0,0,8,12,7,12,0,16,0,0,Graduate
Belum Menikah,Technological specialization diploma holders,1,Social Service,Daytime,Technological specialization course,130,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,131,Tidak,Tidak,Tidak,Iya,Perempuan,Iya,21,Tidak,3,6,7,6,12,0,2,6,7,6,12,0,13,0,0,Graduate
Berpisah,Transfer,1,Nursing,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Layanan dan Jasa,Layanan dan Jasa,126,Iya,Tidak,Tidak,Iya,Laki-laki,Tidak,29,Tidak,2,7,10,5,11,0,1,8,10,5,11,0,13,0,0,Dropout
Belum Menikah,1st phase - general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,139,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Layanan dan Jasa,Spesialis IT/Teknisi,128,Iya,Tidak,Tidak,Iya,Laki-laki,Iya,19,Tidak,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,Graduate
Belum Menikah,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,130,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,130,Iya,Tidak,Tidak,Iya,Laki-laki,Tidak,23,Tidak,0,6,8,6,12,0,0,6,7,6,12,0,8,1,3,Graduate
Belum Menikah,2nd phase - general contingent,1,Nursing,Daytime,Secondary education,150,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Spesialis IT/Teknisi,Manajemen/Administrasi,130,Tidak,Tidak,Tidak,Iya,Laki-laki,Tidak,24,Tidak,0,7,8,7,11,0,0,8,8,8,13,0,13,0,0,Graduate
Belum Menikah,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,141,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Layanan dan Jasa,Tentara,135,Iya,Tidak,Tidak,Iya,Laki-laki,Tidak,19,Tidak,0,0,0,0,0,0,0,0,0,0,0,0,15,2,-4,Dropout
Belum Menikah,2nd phase - general contingent,4,Tourism,Daytime,Secondary education,118,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Layanan dan Jasa,Konstruksi/Transportasi,111,Iya,Tidak,Tidak,Iya,Laki-laki,Tidak,18,Tidak,0,6,12,3,11,0,0,6,12,1,12,0,12,0,1,Dropout
Belum Menikah,1st phase - general contingent,2,Journalism and Communication,Daytime,Secondary education,142,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,132,Iya,Tidak,Tidak,Iya,Laki-laki,Tidak,18,Tidak,0,6,8,6,12,0,0,6,11,3,12,0,10,1,1,Graduate
Belum Menikah,2nd phase - general contingent,3,Management,Daytime,Secondary education,120,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Manajemen/Administrasi,Konstruksi/Transportasi,115,Iya,Tidak,Iya,Iya,Laki-laki,Tidak,18,Tidak,0,5,8,3,10,0,0,5,11,3,10,0,10,1,1,Dropout
Belum Menikah,3rd phase - general contingent,4,Tourism,Daytime,Secondary education,106,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Konstruksi/Transportasi,Konstruksi/Transportasi,106,Iya,Tidak,Tidak,Iya,Laki-laki,Iya,21,Tidak,0,6,8,4,10,0,0,6,11,1,11,0,9,0,-3,Dropout
Belum Menikah,2nd phase - general contingent,4,Journalism and Communication,Daytime,Secondary education,121,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Belum/Tidak Bekerja,Spesialis IT/Teknisi,120,Iya,Tidak,Iya,Iya,Laki-laki,Iya,19,Tidak,0,6,6,6,13,0,0,6,6,6,13,0,8,1,3,Graduate
Belum Menikah,2nd phase - general contingent,4,Nursing,Daytime,Secondary education,150,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,130,Tidak,Tidak,Tidak,Iya,Laki-laki,Iya,22,Tidak,0,7,7,7,14,0,0,8,9,8,15,0,16,0,0,Graduate
Sudah Menikah,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,120,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Belum/Tidak Bekerja,Petani/Perikanan/Kehutanan,117,Tidak,Tidak,Tidak,Iya,Laki-laki,Tidak,33,Tidak,0,6,8,6,12,0,0,6,6,6,11,0,10,1,1,Graduate
Belum Menikah,1st phase - general contingent,6,Basic Education,Daytime,Secondary education,114,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,110,Iya,Tidak,Tidak,Iya,Laki-laki,Tidak,20,Tidak,0,6,8,5,12,0,0,6,7,5,12,0,10,1,1,Dropout
Belum Menikah,Over 23 years old,1,Management,Evening,Higher education - bachelor's degree,140,Portuguese,Higher Education - Degree,Higher Education - Degree,Spesialis Pendidikan,Spesialis Pendidikan,155,Iya,Tidak,Tidak,Iya,Laki-laki,Tidak,35,Tidak,0,1,1,0,0,1,0,5,0,0,0,0,10,1,1,Dropout
Belum Menikah,Over 23 years old,1,Agronomy,Daytime,Higher education - master's,160,Portuguese,Higher Education - Degree,Higher Education - Degree,Manajemen/Administrasi,Spesialis Pendidikan,180,Tidak,Tidak,Iya,Iya,Laki-laki,Tidak,24,Tidak,6,12,17,6,12,0,7,12,14,10,13,0,12,0,1,Dropout
Sudah Menikah,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,130,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Belum/Tidak Bekerja,Petani/Perikanan/Kehutanan,110,Iya,Tidak,Tidak,Iya,Perempuan,Tidak,33,Tidak,0,6,7,6,11,0,0,6,11,5,11,0,9,0,-3,Graduate
Belum Menikah,Transfer,1,Nursing,Daytime,Secondary education,160,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Belum/Tidak Bekerja,Konstruksi/Transportasi,161,Iya,Tidak,Tidak,Iya,Perempuan,Iya,22,Tidak,0,8,8,7,13,0,0,8,8,7,13,0,10,1,1,Graduate
Belum Menikah,Over 23 years old,1,Advertising and Marketing Management,Daytime,Secondary education,120,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Manajemen/Administrasi,Layanan dan Jasa,100,Tidak,Tidak,Tidak,Iya,Perempuan,Iya,25,Tidak,0,5,7,4,10,0,0,5,7,5,11,0,9,0,-3,Graduate
Belum Menikah,2nd phase - general contingent,1,Communication Design,Daytime,Secondary education,124,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Manajemen/Administrasi,Belum/Tidak Bekerja,117,Iya,Tidak,Tidak,Iya,Laki-laki,Tidak,20,Tidak,0,6,9,6,10,1,0,6,6,5,11,0,7,2,0,Graduate
